minimum_nights,calculated_host_listings_count,availability_365,room_type,price
0.0,0.0,0.5698630136986301,1.0,65
0.4285714285714286,0.1411042944785276,0.9698630136986301,0.0,55
0.0,0.0,0.5041095890410959,0.0,40
0.2857142857142857,0.0,0.4,0.5,289
0.07142857142857142,0.0,0.7561643835616438,0.5,110
0.0,0.0,0.7890410958904109,0.5,59
0.0,0.0,0.736986301369863,0.5,308
0.0,0.02147239263803681,0.9835616438356164,0.0,139
0.07142857142857142,0.0,0.057534246575342465,0.0,65
0.0,0.003067484662576687,0.4575342465753425,0.0,60
0.14285714285714285,0.0,0.0,0.0,101
0.2857142857142857,0.0,0.052054794520547946,0.5,175
0.0,0.05214723926380368,0.9726027397260274,0.0,135
0.9285714285714286,0.0,0.4246575342465753,0.5,199
0.0,0.0,0.7890410958904109,0.0,95
0.0,0.0,0.863013698630137,0.0,60
0.0,0.0,0.29863013698630136,0.0,75
0.0,0.015337423312883437,0.4931506849315069,0.0,149
0.0,0.0,0.0,0.0,50
0.07142857142857142,0.003067484662576687,0.7698630136986302,0.5,172
0.14285714285714285,0.0,0.0,0.5,250
0.14285714285714285,0.003067484662576687,0.1178082191780822,0.0,150
0.0,0.009202453987730062,0.11232876712328767,1.0,28
0.07142857142857142,0.003067484662576687,0.0,0.5,250
0.14285714285714285,0.0,0.24657534246575344,0.0,70
0.14285714285714285,0.009202453987730062,0.5780821917808219,0.0,30
0.0,0.0,0.8136986301369863,0.0,70
0.0,0.003067484662576687,0.04657534246575343,0.0,250
0.07142857142857142,0.0,0.736986301369863,0.5,100
0.07142857142857142,0.0,0.08767123287671233,0.0,100
0.0,0.006134969325153375,0.38082191780821917,0.0,33
0.0,0.0,0.4657534246575343,0.5,90
0.07142857142857142,0.0,0.0,0.5,105
0.14285714285714285,0.0,0.0,0.5,125
0.4285714285714286,0.03680981595092024,0.9808219178082191,0.0,169
0.07142857142857142,0.006134969325153375,0.2684931506849315,0.0,65
0.07142857142857142,0.0,0.09041095890410959,0.0,133
0.2857142857142857,0.0,0.0,0.5,150
0.0,0.02147239263803681,0.0,0.0,94
0.14285714285714285,0.006134969325153375,0.4931506849315069,0.0,105
0.0,0.0,0.0,0.0,130
0.0,0.0,0.0,0.5,190
0.0,0.006134969325153375,0.9232876712328767,0.0,53
0.2857142857142857,0.003067484662576687,0.8,0.0,125
0.14285714285714285,0.0,0.38082191780821917,0.0,68
0.07142857142857142,0.0,0.873972602739726,0.0,70
0.4285714285714286,0.0,0.8931506849315068,0.5,195
0.14285714285714285,0.0,0.0,0.0,45
0.0,0.0,0.0,0.0,46
0.14285714285714285,0.0,0.452054794520548,0.5,125
0.14285714285714285,0.009202453987730062,0.08493150684931507,0.0,65
0.14285714285714285,0.003067484662576687,0.0,0.0,97
0.21428571428571427,0.0,0.0,0.5,128
0.07142857142857142,0.003067484662576687,0.0,0.0,95
0.7142857142857143,0.006134969325153375,0.0,0.0,75
0.07142857142857142,0.0,0.0,0.0,85
0.0,0.003067484662576687,0.0,1.0,50
0.07142857142857142,0.0,0.0,0.5,80
0.0,0.006134969325153375,0.04657534246575343,0.0,71
0.07142857142857142,0.0,0.0,0.5,125
0.14285714285714285,0.0,0.6767123287671233,0.5,295
0.07142857142857142,0.018404907975460124,0.15616438356164383,0.0,45
0.14285714285714285,0.0,0.0,0.0,45
0.14285714285714285,0.0,0.03287671232876713,0.5,260
0.07142857142857142,0.003067484662576687,0.0,1.0,45
0.2857142857142857,0.003067484662576687,0.19452054794520549,0.0,90
0.14285714285714285,0.0,0.24657534246575344,0.0,100
0.2857142857142857,0.0,0.4136986301369863,0.5,135
0.21428571428571427,0.0,0.0136986301369863,0.5,300
0.5714285714285714,0.003067484662576687,0.0027397260273972603,0.5,295
0.14285714285714285,0.0,0.10410958904109589,0.0,60
0.0,0.0,0.0027397260273972603,0.0,20
0.0,0.006134969325153375,0.9534246575342465,0.0,35
0.2857142857142857,0.0,0.0,0.5,99
0.0,0.0,0.0,0.5,110
0.0,0.006134969325153375,0.5150684931506849,0.0,88
0.07142857142857142,0.0,0.0,0.5,107
0.07142857142857142,0.003067484662576687,0.8164383561643835,0.5,87
0.2857142857142857,0.0,0.9397260273972603,0.5,799
0.07142857142857142,0.0,0.989041095890411,0.5,400
0.0,0.0,0.5561643835616439,0.0,200
0.14285714285714285,0.006134969325153375,0.8383561643835616,0.0,40
0.14285714285714285,0.0,0.12328767123287672,0.0,100
0.0,0.0,0.0,0.0,100
0.0,0.0,0.0,0.0,53
0.0,0.009202453987730062,1.0,0.5,249
0.0,0.006134969325153375,0.6876712328767123,0.0,99
0.0,0.009202453987730062,0.2054794520547945,0.5,179
0.0,0.02147239263803681,0.3561643835616438,0.0,51
0.14285714285714285,0.0,0.0,0.0,50
0.21428571428571427,0.14723926380368096,0.3315068493150685,0.5,956
0.0,0.0,0.0,0.0,75
0.0,0.003067484662576687,0.0,0.0,100
0.0,0.006134969325153375,0.9972602739726028,0.5,450
0.0,0.003067484662576687,0.0,0.0,99
0.14285714285714285,0.003067484662576687,0.0,0.0,200
0.0,0.009202453987730062,0.947945205479452,0.0,399
0.07142857142857142,0.027607361963190184,0.9643835616438357,0.0,64
0.07142857142857142,0.0,0.0,0.5,170
0.21428571428571427,0.003067484662576687,0.1643835616438356,0.5,99
0.0,0.0,1.0,0.0,60
0.21428571428571427,0.0,0.263013698630137,0.5,275
0.0,0.0,0.24657534246575344,0.0,100
0.0,0.006134969325153375,0.2054794520547945,0.0,97
0.2857142857142857,0.0,0.9068493150684932,0.0,110
0.07142857142857142,0.003067484662576687,0.5150684931506849,0.0,80
0.07142857142857142,0.07668711656441718,0.8273972602739726,0.0,36
0.07142857142857142,0.0,0.049315068493150684,0.0,40
0.21428571428571427,0.0,0.0,0.0,40
0.0,0.003067484662576687,0.10136986301369863,0.0,59
0.14285714285714285,0.0,0.0,0.0,30
0.0,0.003067484662576687,0.0,0.0,50
0.14285714285714285,0.0,0.0,0.0,80
0.0,0.003067484662576687,0.0,0.0,100
0.14285714285714285,0.003067484662576687,0.9835616438356164,0.0,79
0.14285714285714285,0.0,0.0,0.5,120
0.21428571428571427,0.0,0.4328767123287671,0.5,190
0.4285714285714286,0.0,0.0,0.0,69
0.07142857142857142,0.003067484662576687,0.0821917808219178,0.5,499
